Time,MW,HP TBN SPEED,HP INLET STM PRESS AFTER CV 1,HP INLET STM PRESS AFTER CV 2,HP INLET STM PRESS AFTER CV 3,HP INLET STM PRESS AFTER CV 4,HP 1ST STAGE PRESSURE #1,HP 1ST STAGE PRESSURE #2,CV #1 POSITION FEEDBACK,CV #2 POSITION FEEDBACK,CV #3 POSITION FEEDBACK,CV #4 POSITION FEEDBACK,VENT VALVE LINE,CV CHEST INNER TEMP #2,CV CHEST OUTER TEMP #2,LPA EXHAUST VACUUM PRESSURE #1,LPA EXHAUST VACUUM PRESSURE #2,LPA EXHAUST VACUUM PRESSURE #3
2021-09-17 0:00,395.606842,3600.653564,177.8616028,177.7225647,171.9260101,128.7107697,131.8454285,131.7784576,47.81467819,47.83710098,47.99990845,8.078959465,35.80075455,591.7543335,573.6117554,38.45969009,38.62044907,39.12389374
2021-09-17 0:05,395.122406,3599.869141,179.9705811,178.4358063,172.4836884,127.1006317,132.7933807,132.6924286,47.96530914,47.9458847,48.20498657,8.238139153,35.80209351,591.3017578,573.6398315,38.33673477,38.61959839,38.99869537
2021-09-17 0:10,392.6149292,3600.704834,177.4356995,177.3946838,168.2895813,124.4512787,130.3074951,130.2179565,46.76649094,46.68401337,46.94620132,6.95868969,35.90594482,591.3128662,573.5326538,38.50503159,38.78164291,39.09268188
2021-09-17 0:15,403.5241699,3599.738525,178.8532562,178.9969635,171.3846893,131.4993744,136.1955872,135.962326,50.4152298,50.44992447,50.64696884,10.70168304,35.83657074,592.4346313,573.5107422,38.60918427,38.76211929,39.22804642
2021-09-17 0:20,397.7756958,3601.451416,180.4961395,180.079422,171.7958832,126.0476913,133.4456482,133.2888641,46.97174072,46.98048019,47.19776917,7.225967884,35.87379837,591.9855347,573.6689453,38.45352554,38.46537018,39.09217453
2021-09-17 0:25,399.4503174,3599.694092,178.1410217,178.2375488,170.1679993,126.505867,133.4200745,133.2530212,48.45895004,48.52255249,48.70293045,8.779711723,35.81102371,591.3328857,573.7261353,38.51449585,38.72970581,39.19729233
2021-09-17 0:30,403.8118591,3599.04126,180.6201477,180.4334564,172.9070282,129.148056,134.4451599,134.2817688,48.46055603,48.44807434,48.67240143,8.754728317,35.89430237,591.2618408,573.6665039,38.88788986,39.14320374,39.46958542
2021-09-17 0:35,401.8540955,3598.784424,178.501236,178.5624542,171.9640656,128.9287567,133.753006,133.5909729,48.74014282,48.73960114,48.9626236,8.970890045,35.84356689,591.6759644,573.6228638,38.59450531,38.78898239,39.22272873
2021-09-17 0:40,403.5721741,3598.295898,178.0229492,178.0075226,170.2632141,127.2399673,132.0922089,131.9983215,47.73167419,47.69481659,47.98900986,7.993665695,35.87992096,591.5747681,573.6495361,38.91146851,39.17907333,39.51296997
2021-09-17 0:45,404.4394226,3598.651367,179.8000183,179.8466492,171.7732239,128.4646759,133.5999146,133.4860535,48.34209442,48.33724213,48.54441452,8.609525681,35.82083511,591.7727661,573.6765137,38.70511246,38.95628738,39.41750336
2021-09-17 0:50,407.9953918,3598.205078,182.5893402,182.3692932,174.7102203,132.4487762,137.3662872,137.2500916,49.56315613,49.44237518,49.76372528,9.822478294,35.8314209,591.4116211,573.6796875,38.7056427,38.95445633,39.26745224
2021-09-17 0:55,403.5846558,3599.911377,181.7844086,181.9530945,172.4619904,129.214386,134.7194061,134.5592346,48.07060623,47.95159149,48.23194504,8.237282753,35.83284378,591.5089722,573.6176758,38.58089066,38.80600739,39.22697449
2021-09-17 1:00,405.5569763,3599.445313,178.8111725,180.4930115,172.1046906,129.4637451,133.6073303,133.4673309,47.69239807,47.62382126,47.91304398,7.951926231,35.83452606,591.552124,573.6005859,38.68515778,38.87260056,39.29836273
2021-09-17 1:05,407.559082,3598.951172,182.2591553,182.2305756,175.7554932,132.5285797,137.632309,137.4391937,49.99530029,49.97832108,50.20300293,10.26905727,35.81716156,591.9172974,573.6422119,38.62704468,38.902771,39.27601624
2021-09-17 1:10,404.4711304,3599.343994,182.0072327,181.9690857,173.9326019,130.0064545,135.1024017,134.9926758,48.08219147,48.03230286,48.36333466,8.311450005,35.80669403,591.6516724,573.685791,38.65703964,38.88574219,39.23986053
2021-09-17 1:15,410.6773682,3599.495605,182.840332,182.9959564,174.8312683,130.7336121,137.1622925,136.973999,48.92499924,48.89099503,49.13487244,9.203598976,35.85798645,591.8699341,573.6939087,38.75624847,38.95943451,39.40592957
2021-09-17 1:20,410.1598206,3598.687988,181.5863037,181.8573151,174.9025574,130.4983978,135.3905029,135.2830658,48.24927139,48.18881607,48.40337753,8.508220673,35.8289032,591.3973389,573.7427979,38.93323898,39.15177155,39.56276321
2021-09-17 1:25,413.5404053,3599.590088,184.0227356,183.9842987,177.2169952,132.2193298,137.4446259,137.3464813,48.90538406,48.87410355,49.12558365,9.142971039,35.78193283,591.7763672,573.7450562,38.93615341,39.15259171,39.55158615
2021-09-17 1:30,418.0652771,3598.299072,185.0685272,183.8572388,178.3757629,134.9578857,139.109375,139.0036163,49.6643219,49.66556168,49.84690857,9.9251194,35.77437592,591.4134521,573.7722778,39.01050568,39.28646469,39.68384933
2021-09-17 1:35,414.7840271,3598.939697,185.0185394,185.1347656,178.4120789,135.3917084,139.7128143,139.7296753,49.9229393,49.83710098,50.08630371,10.36662006,35.832798,591.8312988,573.7290039,38.92080307,39.14958954,39.5734024
2021-09-17 1:40,415.0977783,3599.3125,182.7225494,182.8041992,178.6764526,134.4173126,138.9121857,138.2961578,49.27737427,49.28593826,49.5421524,9.655586243,35.78127289,591.718689,573.7345581,38.90414429,39.11075592,39.5654068
2021-09-17 1:45,414.3873291,3599.312012,185.2223511,183.7279968,175.4997406,131.1325226,136.2878113,136.1023865,47.90010834,47.87740326,48.04974747,8.112085342,35.85598755,591.6290894,573.7255249,39.05583954,39.31650925,39.71844864
2021-09-17 1:50,417.5784912,3599.276611,185.7470551,185.9691162,179.9878845,135.0171661,139.2112427,139.2342682,48.44340134,48.35021591,48.5362854,8.621659279,35.74444962,591.5739136,573.7025146,39.34238434,39.58782196,39.87463379
2021-09-17 1:55,414.9108887,3599.879883,185.352005,184.4370575,176.2158813,131.6226044,138.2508087,137.9573212,48.36936188,48.46846771,48.02325821,8.531281471,35.68107224,592.0220947,573.6914673,39.00013733,39.23161316,39.59814835
2021-09-17 2:00,414.642334,3599.747803,185.3405609,183.2744141,175.2613068,129.6293793,135.6687012,135.4849243,47.03506851,47.03105545,47.23043823,7.280228138,35.84559631,591.319397,573.7362061,39.2052803,39.39681244,39.71212387
2021-09-17 2:05,420.7205811,3598.642822,185.7628021,187.4376373,181.9154205,136.2884216,141.4573975,141.5369415,50.29127121,50.33700562,50.50653839,10.57509422,35.84049225,591.1977539,573.6835938,39.22159958,39.4570961,39.82864761
2021-09-17 2:10,418.1358337,3598.655273,185.7436676,186.0177765,178.5362244,135.2719421,139.814743,139.6553955,49.29258347,49.26680374,49.41853714,9.439775467,35.7443428,591.5541382,573.5854492,39.05768585,39.27995682,39.72410202
2021-09-17 2:15,411.375824,3600.977783,185.0247955,185.0567322,176.8835602,131.9477539,136.5209351,136.299881,46.87937546,46.76512527,47.05748749,7.118112087,35.80772018,591.9428101,573.5992432,39.05448151,39.27991486,39.70203018
2021-09-17 2:20,412.4107666,3598.251221,183.2075043,183.5031128,176.0458069,132.039505,136.673172,136.5928497,48.59653473,48.57543564,48.81980896,8.804862022,35.77207565,591.651062,573.6570435,39.19405365,39.44511795,39.85045242
2021-09-17 2:25,417.7653198,3598.654053,185.0827332,185.0713501,178.184906,134.1949921,139.7960052,139.6039276,49.12073517,49.07240295,49.46990585,9.382409096,35.75773239,591.3875122,573.7033081,39.23749924,39.48565674,39.84880829
2021-09-17 2:30,413.6020813,3598.988281,185.4242096,185.5919342,178.8889771,134.4054413,139.5608978,139.4874268,49.6442337,49.63638306,49.95100784,9.914125443,35.7304039,591.5963745,573.6681519,38.89471054,39.14303207,39.58195877
2021-09-17 2:35,413.3803406,3598.097656,184.123764,184.1693268,179.6429901,137.0692902,138.0469513,137.7953033,49.47462082,49.35401535,49.66915131,9.641864777,35.76713562,591.3339844,573.6523438,39.03395844,39.27275467,39.61648178
2021-09-17 2:40,411.2732544,3598.415771,184.9043732,181.7187958,179.4575653,135.4221191,140.0109253,139.960022,51.71551514,51.78933334,52.0273819,11.95673084,35.72166443,591.5137939,573.5864258,38.99682999,39.20941544,39.68159103
2021-09-17 2:45,405.8749084,3601.920654,181.4410706,181.4579315,170.7357941,126.6314697,132.4189911,132.324585,45.62387466,45.33720398,45.59767914,5.618597507,35.70418549,591.7453613,573.5524902,39.01682663,39.28256607,39.59767151
2021-09-17 2:50,410.5361938,3600.491455,181.7111053,181.8619995,173.40979,130.2501373,137.2304993,137.2398834,47.98800278,47.95158386,48.25039673,8.20318222,35.75191498,591.4527588,573.6132813,38.95313263,39.21501541,39.59302902
2021-09-17 2:55,402.8660889,3598.814697,179.2451935,178.8011932,172.1327209,128.4083252,132.5116272,132.3718719,47.75453186,47.64486313,47.87477493,8.018547058,35.79279709,591.2506714,573.6291504,39.00857162,39.23478317,39.67531204
2021-09-17 3:00,407.3370056,3599.774658,182.4707489,181.8545074,173.8972931,131.6159515,136.7799683,136.6335754,49.26064301,49.2516861,49.38805008,9.51057148,35.73442459,591.9796143,573.6043091,38.75486374,38.99281311,39.31059265
2021-09-17 3:05,406.068634,3597.744141,180.4478455,181.1356201,175.3462067,132.4284515,137.7743378,137.6069489,51.58089828,51.443367,51.74600983,11.73576546,35.71847153,590.8569946,573.6203613,38.79034805,39.00548935,39.36785889
2021-09-17 3:10,403.7703247,3599.421631,180.3090363,181.8892975,176.2494049,132.8706665,136.7212982,136.5313873,50.62207413,50.59778595,50.87154007,10.90010738,35.76033783,591.0562134,573.4309692,38.84748459,39.02973557,39.45194244
2021-09-17 3:15,394.848175,3599.952637,177.1516418,177.0402832,167.5805817,124.0822983,129.6036224,129.4901581,46.37496567,46.28390884,46.56735229,6.587599754,35.75453949,590.5037842,573.3353271,38.8632431,39.04591751,39.49995041
2021-09-17 3:20,400.1959534,3599.355225,177.4594269,177.5256348,171.5941467,128.5422363,133.8495941,133.6181488,48.84826279,48.78284454,49.04662323,9.067724228,35.67585373,591.8009644,573.1830444,38.9329834,39.19023895,39.5451889
2021-09-17 3:25,399.6508484,3598.827393,177.6177368,177.7208405,174.3893585,130.6834564,135.8048859,135.6105194,51.23017883,51.2012291,51.44694519,11.46399212,35.7460022,590.9674072,573.2874756,38.87516785,39.07320023,39.59863281
2021-09-17 3:30,396.4702759,3599.43457,177.6757355,176.7871704,171.3219604,127.4642258,133.2090149,133.0385132,48.978405,48.89556885,49.2277565,9.245729446,35.76246262,591.1576538,573.3030396,39.05106735,39.26367188,39.70219803
2021-09-17 3:35,395.265625,3599.758789,177.6335907,178.4347076,170.3190918,126.9079895,131.4888611,131.2451324,47.4637146,47.53128052,47.72747803,7.716004372,35.59669876,591.1603394,573.2333374,39.05110168,39.27560043,39.68334961
2021-09-17 3:40,398.9823914,3598.914063,178.422348,178.580368,173.5657959,129.293045,133.9247437,133.9799957,49.23667908,49.20560074,49.41904449,9.451284409,35.80808258,592.0789795,573.2668457,39.03609467,39.26574326,39.72693253
2021-09-17 3:45,398.0113831,3599.950195,179.123291,179.1700134,173.2494049,127.0379105,131.9688873,131.8427429,47.44028091,47.23456192,47.5704155,7.41997385,35.71985245,591.9938354,573.4232178,39.11519241,39.33145142,39.85902405
2021-09-17 3:50,399.4690552,3601.276123,180.0446472,179.8530426,171.2866516,125.1167068,132.3681641,132.2432404,46.45510483,46.41801071,46.62673569,6.670320511,35.71590042,591.8255615,573.6011963,39.12974548,39.40484619,39.83349228
2021-09-17 3:55,404.9914856,3599.777588,180.0270233,181.2188873,170.883255,129.7589874,135.1242676,135.0016937,49.24823761,49.21269989,49.48813248,9.476083755,35.68980026,591.2197266,573.6494141,39.24356461,39.49578094,39.842453
