"time","dwatt","p_ip","t_ip","hrh_p","hrh_t","ssh_p"
2022-09-01 00:00:00,700.795007217675,100.001624168362,500.036228308454,35.0012291013263,550.009159899782,0.289175572618842
2022-09-01 00:01:00,701.009579561651,100.119624775834,500.230484332424,35.005194429541,550.00968833454,0.268409509188496
2022-09-01 00:02:00,701.246363390237,100.334314478096,500.311236113776,35.0175129424315,550.034301532432,0.237986120861024
2022-09-01 00:03:00,701.360853388906,100.389488844667,500.503955737222,35.0195444433484,550.043009745423,0.215669720456935
2022-09-01 00:04:00,701.375310309231,100.49885493936,500.698933771346,35.0257099198643,550.078272297978,0.21226499506738
2022-09-01 00:05:00,701.552628632635,100.682874629274,500.732596332673,35.0518413621467,550.096691271756,0.223896154761314
2022-09-01 00:06:00,701.654915139079,100.992090825457,500.819659959525,35.0528381275944,550.14210942667,0.294355334038846
2022-09-01 00:07:00,701.656463835388,101.119033247232,500.884763014037,35.0537585408892,550.178722916171,0.234254001267254
2022-09-01 00:08:00,702.203007973731,101.161515247077,500.884787293617,35.0558798923157,550.22399350768,0.220826460793614
2022-09-01 00:09:00,702.579464670271,101.380613865331,501.057635592297,35.0849354593083,550.246508596465,0.268048179196194
2022-09-01 00:10:00,703.64342732355,101.496889546979,501.058033336885,35.093673481606,550.277310183737,0.286787073500454
2022-09-01 00:11:00,704.54748114571,101.5460152179,501.12874502549,35.1102161733434,550.32296751393,0.20925096035935
2022-09-01 00:12:00,704.923486150801,101.55336499447,501.70492290752,35.1165197766386,550.322988228872,0.26635591366794
2022-09-01 00:13:00,705.325667746365,101.870634453371,501.807689813431,35.1261781388894,550.378739798907,0.255386636033654
2022-09-01 00:14:00,705.453365202993,101.921273162588,501.815976090729,35.1491444243584,550.450853207149,0.293337430525571
2022-09-01 00:15:00,705.457219481468,101.983039197512,502.025182009675,35.1578694512136,550.506226562429,0.273629246791825
2022-09-01 00:16:00,705.662648752332,102.031443396118,502.027305525262,35.1663413934875,550.519812027924,0.256393327075057
2022-09-01 00:17:00,705.903510656208,102.071997837629,502.060251736548,35.1673766772728,550.59470661683,0.211730770627037
2022-09-01 00:18:00,705.965891573578,102.317968278658,502.112552537583,35.1825655798893,550.620360092726,0.282033600308932
2022-09-01 00:19:00,706.701276730746,102.394955744967,502.153137032874,35.2023825712968,550.637990399264,0.262295056390576
2022-09-01 00:20:00,706.779800821096,102.438188972883,502.259584907442,35.2053489827085,550.711668999866,0.269399701897055
2022-09-01 00:21:00,706.99744746089,102.483576105442,502.275745810475,35.216156084789,550.79101159703,0.241002545878291
